0 000 --- --- --- --- 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
1 001 000 --- --- --- 00000001 00000001 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
2 002 001 000 --- --- 00000001 00000001 00000001 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
3 003 002 001 000 --- 00000001 00000001 00000001 00000001 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
4 004 003 002 001 000 00000001 00000001 00000001 00000001 00000001 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
5 005 004 003 002 001 00000001 00000001 00000001 00000001 00000001 00000001 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
6 006 005 004 003 002 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
7 000 006 005 004 003 000000C8 00000001 00000001 00000001 00000001 00000001 00000001 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
8 001 000 006 005 004 00000001 00000002 00000001 00000001 00000001 00000001 00000001 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
9 002 001 000 006 005 00000001 00000002 00000002 00000001 00000001 00000001 00000001 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
10 003 002 001 000 006 00000001 00000002 00000002 00000002 00000001 00000001 00000001 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
11 004 003 002 001 000 00000001 00000002 00000002 00000002 00000002 00000001 00000001 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
12 005 004 003 002 001 00000001 00000002 00000002 00000002 00000002 00000002 00000001 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
13 006 005 004 003 002 00000001 00000002 00000002 00000002 00000002 00000002 00000002 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
14 000 006 005 004 003 000000C8 00000002 00000002 00000002 00000002 00000002 00000002 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
15 001 000 006 005 004 00000001 00000003 00000002 00000002 00000002 00000002 00000002 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
16 002 001 000 006 005 00000001 00000003 00000003 00000002 00000002 00000002 00000002 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
17 003 002 001 000 006 00000001 00000003 00000003 00000003 00000002 00000002 00000002 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
18 004 003 002 001 000 00000001 00000003 00000003 00000003 00000003 00000002 00000002 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
19 005 004 003 002 001 00000001 00000003 00000003 00000003 00000003 00000003 00000002 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
20 006 005 004 003 002 00000001 00000003 00000003 00000003 00000003 00000003 00000003 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
21 000 006 005 004 003 000000C8 00000003 00000003 00000003 00000003 00000003 00000003 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
22 001 000 006 005 004 00000001 00000004 00000003 00000003 00000003 00000003 00000003 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
23 002 001 000 006 005 00000001 00000004 00000004 00000003 00000003 00000003 00000003 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
24 003 002 001 000 006 00000001 00000004 00000004 00000004 00000003 00000003 00000003 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
25 004 003 002 001 000 00000001 00000004 00000004 00000004 00000004 00000003 00000003 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
26 005 004 003 002 001 00000001 00000004 00000004 00000004 00000004 00000004 00000003 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
27 006 005 004 003 002 00000001 00000004 00000004 00000004 00000004 00000004 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
28 000 006 005 004 003 000000C8 00000004 00000004 00000004 00000004 00000004 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
29 001 000 006 005 004 00000001 00000005 00000004 00000004 00000004 00000004 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
30 002 001 000 006 005 00000001 00000005 00000005 00000004 00000004 00000004 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
31 003 002 001 000 006 00000001 00000005 00000005 00000005 00000004 00000004 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
32 004 003 002 001 000 00000001 00000005 00000005 00000005 00000005 00000004 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
33 005 004 003 002 001 00000001 00000005 00000005 00000005 00000005 00000005 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
34 006 005 004 003 002 00000001 00000005 00000005 00000005 00000005 00000005 00000005 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
